#,Name,Email,Area of Study,Year,Language 1,Language 2,To Learn 1,To Learn 2,To Learn 3,Interest 1,Interest 2,Interest 3,Personality
24,Cheyenne Spontak,Cheyenne.Spontak@test.com,Sociology,Freshman,English,Mandarin,Japanese,French,n/a,Movies,Outdoors,n/a,5
25,Benton Lockart,Benton.Lockart@test.com,Statistics,Junior,Turkish,n/a,English,n/a,French,Outdoors,Walks,n/a,4
26,Beula Wojtkowski,Beula.Wojtkowski@test.com,Chemistry,Junior,German,n/a,Japanese,Italian,n/a,Movies,Outdoors,Fitness,1
27,Katelin Yuzn,Katelin.Yuzn@test.com,Law,Junior,Japanese,Spanish,French,Mandarin,n/a,Video Games,n/a,Drawing,5
28,Berniece Wilderman,Berniece.Wilderman@test.com,Journalism,PhD,Mandarin,English,Korean,German,n/a,Drawing,Yoga,n/a,4
29,Marquitta Gones,Marquitta.Gones@test.com,Economics,Junior,English,n/a,Italian,Mandarin,Korean,Fitness,Food,n/a,4
30,Krystina Trame,Krystina.Trame@test.com,Language,Junior,English,German,Mandarin,Japanese,French,Photography,Video Games,n/a,5
31,Ron Livington,Ron.Livington@test.com,Engineering,Freshman,Spanish,Korean,French,German,n/a,Sports,Cooking,Yoga,3
32,Deane Piszczatowski,Deane.Piszczatowski@test.com,Marketing,Post-Doc,Japanese,English,Korean,Turkish,n/a,Traveling,Food,n/a,1
33,Sherrell Swanton,Sherrell.Swanton@test.com,Journalism,Spouse/Partner of Student/Post-Doc,English,n/a,French,Italian,n/a,Fitness,Concerts,Cooking,2
34,Trisha Alarid,Trisha.Alarid@test.com,Theater,Graduate,English,n/a,Mandarin,Japanese,n/a,Volunteering,Fitness,Movies,2
35,Laraine Mensah,Laraine.Mensah@test.com,Management,Post-Doc,French,n/a,English,Mandarin,Japanese,Concerts,Food,n/a,5
36,Peggy Tindle,Peggy.Tindle@test.com,Economics,Junior,English,n/a,Italian,Mandarin,n/a,Cooking,Sports,n/a,4
37,Jerilyn Vessels,Jerilyn.Vessels@test.com,Computer Science,PhD,English,n/a,German,n/a,Mandarin,Volunteering,Photography,n/a,2
38,Arnette Vagliardo,Arnette.Vagliardo@test.com,Statistics,Senior,Spanish,n/a,French,Mandarin,n/a,Music,Yoga,n/a,3
39,Hae Dulkis,Hae.Dulkis@test.com,Psychology,Post-Doc,German,Mandarin,French,Italian,n/a,Food,Yoga,n/a,5
40,Queenie Amstein,Queenie.Amstein@test.com,Finance,PhD,French,n/a,Mandarin,Korean,n/a,Video Games,Fitness,n/a,5
41,Arlie Thagard,Arlie.Thagard@test.com,Geography,Sophomore,Korean,n/a,German,Turkish,n/a,Drawing,Volunteering,Concerts,5
42,Doloris Roye,Doloris.Roye@test.com,Management,Graduate,Mandarin,Spanish,English,n/a,Turkish,Music,Food,n/a,4
43,Julienne Botras,Julienne.Botras@test.com,Sociology,Junior,French,n/a,Japanese,English,n/a,Concerts,Volunteering,n/a,1
44,Eula Babiarz,Eula.Babiarz@test.com,Education,Senior,Italian,n/a,Turkish,English,German,Music,Yoga,Concerts,5
45,Tari Pinkard,Tari.Pinkard@test.com,Anthropology,Junior,English,n/a,Korean,n/a,Turkish,Concerts,Walks,n/a,3
46,Sheryl Fortuna,Sheryl.Fortuna@test.com,Management,Sophomore,Mandarin,n/a,Korean,Turkish,n/a,Drawing,Concerts,n/a,5
47,Adrienne Drowne,Adrienne.Drowne@test.com,Chemistry,Graduate,French,n/a,Spanish,English,n/a,Movies,Traveling,n/a,1
48,Chelsey Bellessa,Chelsey.Bellessa@test.com,Ethnic and Cultural Studies,PhD,Italian,n/a,Mandarin,n/a,French,Outdoors,Food,Drawing,5
49,Venetta Mastriano,Venetta.Mastriano@test.com,Literature,Junior,Italian,n/a,French,German,n/a,Walks,Outdoors,Photography,5
50,Paz Grier,Paz.Grier@test.com,Sociology,Sophomore,Italian,n/a,Japanese,French,n/a,Yoga,Food,Video Games,1
51,Maranda Canul,Maranda.Canul@test.com,Chemistry,Spouse/Partner of Student/Post-Doc,Korean,Turkish,Japanese,Mandarin,n/a,Reading,Fitness,Photography,2
52,Suzy Guiden,Suzy.Guiden@test.com,Art history,Sophomore,Mandarin,n/a,German,Italian,Japanese,Movies,Fitness,n/a,5
53,Marta Zemel,Marta.Zemel@test.com,Education,Spouse/Partner of Student/Post-Doc,Spanish,Mandarin,Turkish,English,n/a,Sports,Outdoors,n/a,5
54,Angelia Tela,Angelia.Tela@test.com,Computer Science,Junior,Turkish,n/a,Mandarin,Korean,Japanese,Volunteering,Music,n/a,4
55,Season Kirbie,Season.Kirbie@test.com,Theater,Post-Doc,French,n/a,Italian,n/a,English,Video Games,Fitness,n/a,4
56,Vi Stanwick,Vi.Stanwick@test.com,Sociology,Spouse/Partner of Student/Post-Doc,Turkish,n/a,French,German,n/a,Volunteering,Fitness,Video Games,3
57,Teodoro Domhoff,Teodoro.Domhoff@test.com,Physics,Spouse/Partner of Student/Post-Doc,English,n/a,French,Mandarin,n/a,Drawing,Yoga,n/a,4
58,Evette Schrott,Evette.Schrott@test.com,Literature,PhD,Mandarin,n/a,French,n/a,Spanish,Walks,Cooking,Photography,2
59,Justin Merrifield,Justin.Merrifield@test.com,Computer Science,PhD,Italian,n/a,English,German,n/a,Concerts,Yoga,n/a,3
60,Belkis Zuleger,Belkis.Zuleger@test.com,Education,Post-Doc,French,English,Spanish,Mandarin,n/a,Movies,Photography,Volunteering,3
61,Ivory Sipos,Ivory.Sipos@test.com,Psychology,Sophomore,English,n/a,German,French,n/a,Video Games,Yoga,n/a,3
62,Tawna Mends,Tawna.Mends@test.com,Journalism,Junior,Mandarin,n/a,Turkish,Italian,n/a,Cooking,Traveling,Fitness,5
63,Ema Bowers,Ema.Bowers@test.com,Language,PhD,Japanese,n/a,Italian,n/a,Mandarin,Concerts,Yoga,Reading,4
64,Raleigh Vanwyngaarden,Raleigh.Vanwyngaarden@test.com,Ethnic and Cultural Studies,Senior,Spanish,n/a,Japanese,Korean,English,Traveling,n/a,Concerts,5
65,Nan Roscorla,Nan.Roscorla@test.com,Statistics,Graduate,Mandarin,Spanish,Turkish,Italian,n/a,Photography,n/a,Yoga,3
66,Yulanda Mckneely,Yulanda.Mckneely@test.com,Physics,Junior,Spanish,German,French,Italian,n/a,Movies,Reading,n/a,4
67,Sarina Kucha,Sarina.Kucha@test.com,Psychology,Spouse/Partner of Student/Post-Doc,Korean,n/a,Turkish,Mandarin,Italian,Cooking,Walks,n/a,1
68,Robt Bogdanovich,Robt.Bogdanovich@test.com,Psychology,Sophomore,French,n/a,Mandarin,Spanish,n/a,Cooking,Walks,Reading,4
69,Broderick Wurzbacher,Broderick.Wurzbacher@test.com,Computer Science,Spouse/Partner of Student/Post-Doc,English,Italian,Turkish,French,n/a,Outdoors,Video Games,Music,4
70,Lavinia Eget,Lavinia.Eget@test.com,Marketing,Spouse/Partner of Student/Post-Doc,German,n/a,French,Spanish,n/a,Music,Reading,Cooking,1
71,Darcey Frymire,Darcey.Frymire@test.com,Law,Post-Doc,French,n/a,Spanish,Italian,Turkish,Fitness,Cooking,Food,2
72,Alline Danoff,Alline.Danoff@test.com,Sociology,Graduate,Italian,n/a,English,Korean,n/a,Fitness,Yoga,n/a,3
73,Carmela Glow,Carmela.Glow@test.com,Theater,Post-Doc,French,n/a,German,Spanish,n/a,Outdoors,Concerts,n/a,1
74,Tenesha Ince,Tenesha.Ince@test.com,Economics,Spouse/Partner of Student/Post-Doc,French,Japanese,English,Italian,n/a,Photography,Volunteering,Sports,5
75,Edgardo Nederostek,Edgardo.Nederostek@test.com,Management,Spouse/Partner of Student/Post-Doc,Japanese,English,Italian,French,n/a,Walks,Yoga,Concerts,2
76,Ross Aler,Ross.Aler@test.com,Geography,Sophomore,Mandarin,n/a,French,Japanese,Italian,Fitness,n/a,Music,3
77,Nicholle Wenciker,Nicholle.Wenciker@test.com,Psychology,PhD,Turkish,n/a,French,Italian,n/a,Sports,Drawing,Cooking,5
78,Jeanelle Handford,Jeanelle.Handford@test.com,Chemistry,Freshman,French,n/a,English,German,n/a,Photography,Food,n/a,4
79,Vasiliki Kintsel,Vasiliki.Kintsel@test.com,Economics,Junior,Turkish,n/a,French,Mandarin,n/a,Music,Cooking,Video Games,2
80,Tamara President,Tamara.President@test.com,Law,Freshman,English,n/a,Mandarin,German,Japanese,Yoga,n/a,Outdoors,4
81,Alissa Zeiss,Alissa.Zeiss@test.com,Law,Graduate,Japanese,n/a,Italian,English,n/a,Concerts,Reading,n/a,1
82,Valarie Yother,Valarie.Yother@test.com,Engineering,Freshman,Italian,Japanese,English,Turkish,n/a,Reading,Traveling,n/a,5
83,Shonda Matice,Shonda.Matice@test.com,Sociology,Graduate,Mandarin,n/a,Japanese,Korean,n/a,Drawing,Music,Movies,5
84,Marleen Rodgerson,Marleen.Rodgerson@test.com,History,Freshman,English,n/a,Italian,n/a,Turkish,Photography,Outdoors,n/a,4
85,Karina Wordlow,Karina.Wordlow@test.com,Anthropology,Graduate,German,n/a,Spanish,Japanese,n/a,Video Games,Movies,n/a,1
86,Earle Indermuehle,Earle.Indermuehle@test.com,Psychology,Post-Doc,English,Japanese,French,Italian,n/a,Video Games,n/a,Concerts,1
87,Deirdre Gonzalea,Deirdre.Gonzalea@test.com,Chemistry,Post-Doc,Korean,n/a,English,German,n/a,Concerts,Outdoors,n/a,2
88,Tammi Rys,Tammi.Rys@test.com,Computer Science,Graduate,Italian,n/a,Spanish,German,n/a,Yoga,Movies,Photography,4
89,Duncan Helem,Duncan.Helem@test.com,Management,Sophomore,Japanese,n/a,Mandarin,Spanish,Italian,Yoga,Sports,Reading,1
90,Queenie Babilon,Queenie.Babilon@test.com,Journalism,Sophomore,Japanese,Italian,Spanish,English,n/a,Yoga,Reading,Concerts,3
91,Danette Dickmann,Danette.Dickmann@test.com,Language,Sophomore,Korean,n/a,Italian,Mandarin,n/a,Drawing,Photography,n/a,2
92,Su Albarez,Su.Albarez@test.com,Finance,Freshman,Spanish,n/a,German,Turkish,Japanese,Food,Drawing,n/a,2
93,Yvonne Ezdebski,Yvonne.Ezdebski@test.com,Psychology,Junior,Spanish,n/a,Korean,Mandarin,n/a,Walks,Concerts,Music,3
94,Marlena Mccaughan,Marlena.Mccaughan@test.com,Journalism,Senior,French,Mandarin,Korean,Turkish,n/a,Photography,Volunteering,Music,2
95,Kenia Jabs,Kenia.Jabs@test.com,Economics,Junior,Korean,n/a,English,Mandarin,German,Traveling,Outdoors,n/a,4
96,Zenobia Gianni,Zenobia.Gianni@test.com,Economics,Graduate,French,n/a,Mandarin,English,Italian,Volunteering,Cooking,n/a,4
97,Rozella Millsap,Rozella.Millsap@test.com,Art history,Spouse/Partner of Student/Post-Doc,English,n/a,Mandarin,n/a,Korean,Cooking,Sports,Traveling,2
98,Evita Heggan,Evita.Heggan@test.com,Computer Science,Post-Doc,Spanish,n/a,Korean,Mandarin,n/a,Traveling,Sports,Cooking,5
99,Lyndsay Seuell,Lyndsay.Seuell@test.com,Statistics,Sophomore,Mandarin,Spanish,German,Turkish,n/a,Movies,Walks,Food,2
100,Rosana Dickert,Rosana.Dickert@test.com,Language,Junior,Italian,n/a,Mandarin,Japanese,n/a,Reading,n/a,Cooking,2
101,Marcela Miyasaki,Marcela.Miyasaki@test.com,Finance,Post-Doc,Mandarin,n/a,Italian,n/a,Japanese,Photography,Cooking,n/a,1
102,Jenell Stacey,Jenell.Stacey@test.com,Chemistry,PhD,German,n/a,English,Italian,n/a,Photography,Reading,n/a,3
103,Lauran Blumenstein,Lauran.Blumenstein@test.com,Ethnic and Cultural Studies,Spouse/Partner of Student/Post-Doc,Korean,n/a,English,French,Mandarin,Traveling,Walks,n/a,1
104,Jamila Ramirel,Jamila.Ramirel@test.com,Geography,Spouse/Partner of Student/Post-Doc,Spanish,n/a,English,Mandarin,n/a,Volunteering,Photography,Movies,3
105,Tonita Fairrow,Tonita.Fairrow@test.com,Marketing,Spouse/Partner of Student/Post-Doc,English,Spanish,Mandarin,German,n/a,Traveling,Sports,n/a,5
106,Fidela Mccrystal,Fidela.Mccrystal@test.com,Chemistry,Spouse/Partner of Student/Post-Doc,Mandarin,n/a,Turkish,n/a,Japanese,Video Games,Reading,Walks,1
107,Leonor Acampora,Leonor.Acampora@test.com,Journalism,Spouse/Partner of Student/Post-Doc,Japanese,n/a,Korean,Turkish,n/a,Photography,n/a,Drawing,1
108,Chanell Famiano,Chanell.Famiano@test.com,Economics,Sophomore,Mandarin,n/a,Japanese,English,n/a,Music,Food,n/a,4
109,Nobuko Cincotta,Nobuko.Cincotta@test.com,Management,Senior,Spanish,n/a,English,Korean,n/a,Photography,Walks,Fitness,2
110,Adrienne Cerecer,Adrienne.Cerecer@test.com,Statistics,Senior,Turkish,n/a,Italian,Mandarin,n/a,Outdoors,Concerts,Sports,3
111,Teressa Capra,Teressa.Capra@test.com,Psychology,Graduate,Japanese,n/a,English,Spanish,n/a,Reading,Music,Drawing,4
112,Brenna Monagan,Brenna.Monagan@test.com,Sociology,Post-Doc,Spanish,n/a,German,n/a,Mandarin,Music,n/a,Yoga,1
113,Breanne Mattsen,Breanne.Mattsen@test.com,Law,Sophomore,Mandarin,French,Korean,German,n/a,Yoga,Fitness,n/a,3
114,Lavada Dumm,Lavada.Dumm@test.com,Computer Science,Junior,Korean,n/a,Mandarin,Spanish,n/a,Walks,Sports,n/a,4
115,Daren Loughery,Daren.Loughery@test.com,Finance,Spouse/Partner of Student/Post-Doc,Turkish,n/a,Italian,Spanish,English,Walks,n/a,Outdoors,4
116,Lynelle Ballintyn,Lynelle.Ballintyn@test.com,Marketing,PhD,English,n/a,Mandarin,Italian,n/a,Drawing,Photography,n/a,3
117,Augustine Willison,Augustine.Willison@test.com,Management,Spouse/Partner of Student/Post-Doc,Japanese,n/a,English,n/a,French,Fitness,n/a,Concerts,4
118,Trish Galyean,Trish.Galyean@test.com,Physics,Post-Doc,Spanish,n/a,English,n/a,German,Movies,Sports,Traveling,2
119,Pok Greenham,Pok.Greenham@test.com,Language,Spouse/Partner of Student/Post-Doc,Japanese,German,Spanish,French,n/a,Yoga,n/a,Drawing,1
120,Josette Pitmon,Josette.Pitmon@test.com,Sociology,Graduate,German,English,Turkish,Japanese,n/a,Sports,Traveling,Photography,5
121,Brittni Soukkhavong,Brittni.Soukkhavong@test.com,Marketing,Post-Doc,German,n/a,Mandarin,English,n/a,Walks,Video Games,Photography,4
122,Idella Nimox,Idella.Nimox@test.com,Education,Post-Doc,Turkish,n/a,Italian,Mandarin,Korean,Concerts,Walks,n/a,5
123,Lavern Reasons,Lavern.Reasons@test.com,Statistics,Post-Doc,French,n/a,Turkish,Mandarin,n/a,Cooking,Sports,n/a,1
124,Tenisha Laski,Tenisha.Laski@test.com,Ethnic and Cultural Studies,Post-Doc,English,French,Japanese,Spanish,n/a,Drawing,n/a,Concerts,1
125,Leticia Guler,Leticia.Guler@test.com,History,Junior,Korean,n/a,Turkish,Mandarin,n/a,Drawing,Movies,n/a,2
126,Raisa Lipoma,Raisa.Lipoma@test.com,Chemistry,Sophomore,French,n/a,Mandarin,English,n/a,Cooking,Yoga,n/a,3
127,Carmelita Selke,Carmelita.Selke@test.com,History,Senior,Mandarin,n/a,Korean,Turkish,n/a,Video Games,Reading,Photography,3
128,Eliseo Beirne,Eliseo.Beirne@test.com,Education,Sophomore,Japanese,n/a,Mandarin,English,n/a,Outdoors,Drawing,n/a,1
129,Carmon Ferrato,Carmon.Ferrato@test.com,Language,Sophomore,Korean,n/a,Spanish,German,n/a,Music,Fitness,n/a,1
130,Theodore Pinkelton,Theodore.Pinkelton@test.com,Geography,Sophomore,Italian,Spanish,Mandarin,n/a,English,Sports,Reading,n/a,3
131,Carlo Tyszko,Carlo.Tyszko@test.com,Computer Science,Freshman,English,n/a,Italian,n/a,French,Yoga,Music,Video Games,5
132,Billi Heu,Billi.Heu@test.com,Law,PhD,Korean,n/a,German,n/a,English,Sports,Fitness,n/a,2
133,Vita Felberbaum,Vita.Felberbaum@test.com,Theater,PhD,Turkish,n/a,English,Mandarin,n/a,Reading,Video Games,n/a,1
134,Denis Sheive,Denis.Sheive@test.com,History,PhD,German,n/a,Spanish,Korean,n/a,Cooking,Concerts,n/a,4
135,Bruno Mones,Bruno.Mones@test.com,Journalism,Junior,French,n/a,Turkish,German,n/a,Video Games,Reading,Sports,1
136,Nyla Uhrig,Nyla.Uhrig@test.com,Geography,PhD,French,n/a,English,Turkish,n/a,Music,Outdoors,n/a,4
137,Latoya Guitierrez,Latoya.Guitierrez@test.com,Chemistry,Sophomore,Italian,n/a,Japanese,Mandarin,n/a,Walks,Fitness,n/a,3
138,Stephany Mushtaq,Stephany.Mushtaq@test.com,Chemistry,Junior,Korean,n/a,English,German,n/a,Volunteering,Music,n/a,5
139,Corrie Wessells,Corrie.Wessells@test.com,History,Freshman,Korean,n/a,Italian,n/a,Mandarin,Concerts,Yoga,n/a,3
140,Melania Lagerman,Melania.Lagerman@test.com,Computer Science,Graduate,Spanish,Mandarin,Japanese,Korean,n/a,Concerts,n/a,Video Games,4
141,Bernardine Hoerger,Bernardine.Hoerger@test.com,Theater,Freshman,German,Italian,French,Japanese,n/a,Reading,Drawing,Movies,1
142,Arla Nill,Arla.Nill@test.com,Anthropology,Junior,French,n/a,Korean,English,n/a,Volunteering,Traveling,n/a,3
143,Birgit Filion,Birgit.Filion@test.com,Economics,Spouse/Partner of Student/Post-Doc,German,English,Turkish,Italian,n/a,Volunteering,Concerts,Movies,5
144,Corazon Mallinson,Corazon.Mallinson@test.com,Physics,Senior,German,Spanish,French,Korean,Mandarin,Reading,Music,Walks,5
145,Kymberly Tinley,Kymberly.Tinley@test.com,Finance,Graduate,Spanish,Korean,Turkish,Japanese,n/a,Traveling,Cooking,n/a,2
146,Virgina Baus,Virgina.Baus@test.com,Statistics,PhD,Italian,n/a,French,German,n/a,Video Games,Movies,n/a,5
147,Marcel Antignani,Marcel.Antignani@test.com,Engineering,Post-Doc,Turkish,n/a,English,Mandarin,n/a,Video Games,Concerts,Music,1
148,Lorena Maragni,Lorena.Maragni@test.com,History,Spouse/Partner of Student/Post-Doc,Italian,n/a,German,Spanish,n/a,Walks,Food,Video Games,5
149,Scottie Beucler,Scottie.Beucler@test.com,Language,Junior,Italian,Spanish,Mandarin,English,n/a,Food,Walks,Cooking,5
150,Porsche Colyar,Porsche.Colyar@test.com,Engineering,Senior,Spanish,n/a,Korean,English,n/a,Traveling,Outdoors,Fitness,5
151,Neida Tarricone,Neida.Tarricone@test.com,Management,Post-Doc,Turkish,n/a,Japanese,Mandarin,n/a,Fitness,Outdoors,n/a,3
152,Tiffany Struckman,Tiffany.Struckman@test.com,Anthropology,Graduate,Mandarin,n/a,English,Korean,n/a,Reading,Food,n/a,5
153,Louisa Hongo,Louisa.Hongo@test.com,Language,Graduate,Spanish,n/a,German,Turkish,n/a,Traveling,Cooking,n/a,2
154,Krissy Gehman,Krissy.Gehman@test.com,Computer Science,Freshman,German,n/a,French,n/a,Mandarin,Fitness,Music,Movies,1
155,Jessia Lease,Jessia.Lease@test.com,Anthropology,Junior,Spanish,n/a,Mandarin,English,n/a,Video Games,Yoga,Movies,3
156,Honey Ingrassia,Honey.Ingrassia@test.com,Sociology,Junior,Spanish,n/a,English,Korean,n/a,Video Games,Sports,n/a,4
157,Zola Loza,Zola.Loza@test.com,Anthropology,Spouse/Partner of Student/Post-Doc,Korean,English,French,Spanish,n/a,Volunteering,Drawing,Music,2
158,Patrick Rudi,Patrick.Rudi@test.com,Sociology,Senior,German,n/a,Mandarin,Korean,Italian,Sports,Walks,Concerts,3
159,Lisbeth Confrey,Lisbeth.Confrey@test.com,Engineering,Graduate,Mandarin,German,English,Japanese,n/a,Movies,Drawing,Volunteering,4
160,Pandora Ackert,Pandora.Ackert@test.com,Engineering,Freshman,English,n/a,Japanese,Korean,n/a,Fitness,Cooking,Drawing,4
